title,productor
"Avatar","Ingenious Film Partners"
"Avatar","Twentieth Century Fox Film Corporation"
"Avatar","Dune Entertainment"
"Avatar","Lightstorm Entertainment"
"Spectre","Columbia Pictures"
"Spectre","Danjaq"
"Spectre","B24"
"Tangled","Walt Disney Pictures"
"Tangled","Walt Disney Animation Studios"
"Titanic","Paramount Pictures"
"Titanic","Twentieth Century Fox Film Corporation"
"Titanic","Lightstorm Entertainment"
"Battleship","Universal Pictures"
"Battleship","Hasbro"
"Battleship","Bluegrass Films"
"Battleship","Film 44"
"Skyfall","Columbia Pictures"
"Brave","Walt Disney Pictures"
"Brave","Pixar Animation Studios"
"2012","Columbia Pictures"
"2012","Centropolis Entertainment"
"2012","The Mark Gordon Company"
"2012","Farewell Productions"
"Up","Pixar Animation Studios"
"Hugo","Paramount Pictures"
"Hugo","Infinitum Nihil"
"Hugo","GK Films"
"Waterworld","Universal Pictures"
"Waterworld","Gordon Company"
"Waterworld","Davis Entertainment"
"Waterworld","Licht/Mueller Film Corporation"
"Maleficent","Walt Disney Pictures"
"Maleficent","Walt Disney Studios Motion Pictures"
"Maleficent","Roth Films"
"Tomorrowland","Walt Disney Pictures"
"Tomorrowland","Babieka"
"Tomorrowland","A113"
"Interstellar","Paramount Pictures"
"Interstellar","Legendary Pictures"
"Interstellar","Warner Bros."
"Interstellar","Syncopy"
"Interstellar","Lynda Obst Productions"
"Inception","Legendary Pictures"
"Inception","Warner Bros."
"Inception","Syncopy"
"Poseidon","Virtual Studios"
"Poseidon","Next Entertainment"
"Poseidon","Warner Bros."
"Poseidon","Irwin Allen Productions"
"Poseidon","Radiant Productions"
"Poseidon","Synthesis Entertainment"
"Warcraft","Universal Pictures"
"Warcraft","Atlas Entertainment"
"Warcraft","Legendary Pictures"
"Warcraft","Blizzard Entertainment"
"Transformers","Paramount Pictures"
"Transformers","DreamWorks SKG"
"Transformers","Amblin Entertainment"
"Transformers","Di Bonaventura Pictures"
"Transformers","Platinum Dunes"
"Transformers","thinkfilm"
"Transformers","SprocketHeads"
"Transformers","Hasbro Studios"
"Transformers","Revolution Sun Studios"
"Alexander","France 3 Cinéma"
"Alexander","Intermedia Films"
"Alexander","Pathé Renn Productions"
"Alexander","Egmond Film & Television"
"Alexander","Warner Bros."
"Alexander","Pacifica Film"
"Alexander","IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG"
"Alexander","WR Universal Group"
"Hancock","Columbia Pictures"
"Hancock","Weed Road Pictures"
"Hancock","Forward Pass"
"Hancock","Relativity Media"
"Hancock","Overbrook Entertainment"
"Hancock","Blue Light"
"Hancock","GH Three"
"Ratatouille","Walt Disney Pictures"
"Ratatouille","Pixar Animation Studios"
"Frozen","Walt Disney Pictures"
"Frozen","Walt Disney Animation Studios"
"Thor","Marvel Studios"
"Bolt","Walt Disney Animation Studios"
"Pan","Warner Bros."
"Pan","Moving Picture Company (MPC)"
"Pan","Berlanti Productions"
"Pan","RatPac-Dune Entertainment"
"Troy","Plan B Entertainment"
"Troy","Warner Bros."
"Troy","Nimar Studios"
"Troy","Radiant Productions"
"Troy","Helena Productions"
"Troy","Latina Pictures"
"Ghostbusters","Columbia Pictures"
"Ghostbusters","Village Roadshow Pictures"
"Ghostbusters","Montecito Picture Company, The"
"Ghostbusters","LStar Capital"
"Ghostbusters","Feigco Entertainment"
"Ghostbusters","Pascal Pictures"
"Ghostbusters","Ghostcorps"
"Armageddon","Jerry Bruckheimer Films"
"Armageddon","Touchstone Pictures"
"Armageddon","Valhalla Motion Pictures"
"Beowulf","Paramount Pictures"
"Beowulf","Shangri-La Entertainment"
"Beowulf","ImageMovers"
"Beowulf","Paramount Animation"
"Stealth","Laura Ziskin Productions"
"Stealth","Original Film"
"Stealth","Columbia Pictures Corporation"
"Stealth","Phoenix Pictures"
"Stealth","AFG Talons Productions"
"Watchmen","Paramount Pictures"
"Watchmen","DC Comics"
"Watchmen","Lawrence Gordon Productions"
"Watchmen","Legendary Pictures"
"Watchmen","Warner Bros."
"Watchmen","Cruel and Unusual Films"
"Hulk","Universal Pictures"
"Hulk","Good Machine"
"Hulk","Valhalla Motion Pictures"
"Hulk","Marvel Enterprises"
"Sahara","Paramount Pictures"
"Sahara","Bristol Bay Productions"
"Sahara","Baldwin Entertainment Group"
"Sahara","Desertlands Entertainment"
"Sahara","Mace Neufeld Productions"
"Sahara","Kanzaman"
"Sahara","J.K. Livin Productions"
"Sahara","Moguletta"
"Sahara","Sahara Productions"
"Sahara","Babelsberg Film"
"Turbo","DreamWorks Animation"
"Rango","Paramount Pictures"
"Rango","Nickelodeon Movies"
"Rango","GK Films"
"Rango","Blind Wink"
"Rango","Paramount Animation"
"Home","Twentieth Century Fox Film Corporation"
"Home","DreamWorks Animation"
"Salt","Columbia Pictures"
"Salt","Di Bonaventura Pictures"
"Salt","Relativity Media"
"Salt","Wintergreen Productions"
"Noah","Paramount Pictures"
"Noah","Regency Enterprises"
"Noah","Protozoa Pictures"
"Noah","Disruption Entertainment"
"Australia","Bazmark Films"
"Australia","Ingenious Film Partners"
"Australia","Twentieth Century Fox Film Corporation"
"Australia","Dune Entertainment III"
"Australia","ScreenWest"
"Dinosaur","Walt Disney Pictures"
"Dinosaur","Walt Disney Feature Animation"
"Megamind","DreamWorks Animation"
"X2","Twentieth Century Fox Film Corporation"
"X2","Donners' Company"
"X2","Bad Hat Harry Productions"
"X2","Marvel Enterprises"
"X2","XM2 Productions"
"X2","XF2 Canada Productions"
"Prometheus","Twentieth Century Fox Film Corporation"
"Prometheus","Dune Entertainment"
"Prometheus","Scott Free Productions"
"Prometheus","Brandywine Productions"
"Elysium","TriStar Pictures"
"Elysium","Media Rights Capital"
"Elysium","Sony Pictures Entertainment (SPE)"
"Elysium","QED International"
"Elysium","Alpha Core"
"Elysium","Genre Films"
"Elysium","Simon Kinberg Productions"
"RoboCop","Columbia Pictures"
"RoboCop","Strike Entertainment"
"RoboCop","Metro-Goldwyn-Mayer (MGM)"
"Oblivion","Universal Pictures"
"Oblivion","Chernin Entertainment"
"Oblivion","Relativity Media"
"Oblivion","Monolith Pictures (III)"
"Oblivion","Radical Studios"
"Windtalkers","Lion Rock Productions"
"Windtalkers","Metro-Goldwyn-Mayer (MGM)"
"Gravity","Warner Bros."
"Gravity","Heyday Films"
"Gravity","Esperanto Filmoj"
"Insurgent","Summit Entertainment"
"Insurgent","Mandeville Films"
"Insurgent","Red Wagon Entertainment"
"Insurgent","NeoReel"
"Allegiant","Summit Entertainment"
"Allegiant","Lionsgate"
"Allegiant","Mandeville Films"
"Allegiant","Red Wagon Entertainment"
"Ali","Columbia Pictures Corporation"
"Gladiator","DreamWorks SKG"
"Gladiator","Universal Pictures"
"Gladiator","Scott Free Productions"
"Gladiator","Red Wagon Entertainment"
"Gladiator","Mill Film"
"Gladiator","C & L"
"Gladiator","Dawliz"
"Eraser","Kopelson Entertainment"
"Eraser","Warner Bros."
"Eragon","Ingenious Film Partners"
"Eragon","Twentieth Century Fox Film Corporation"
"Eragon","Dune Entertainment"
"Eragon","Major Studio Partners"
"Eragon","Fox 2000 Pictures"
"Eragon","Davis Entertainment"
"Eragon","Mid Atlantic Films"
"Epic","Blue Sky Studios"
"Epic","Twentieth Century Fox Animation"
"Catwoman","Village Roadshow Pictures"
"Catwoman","DiNovi Pictures"
"Catwoman","Warner Bros."
"Catwoman","Frantic Films"
"Catwoman","Maple Shade Films"
"Catwoman","Catwoman Films"
"Hercules","Paramount Pictures"
"Hercules","Metro-Goldwyn-Mayer (MGM)"
"Hercules","Radical Studios"
"Hercules","Flynn Picture Company"
"Cinderella","Walt Disney Pictures"
"Cinderella","Genre Films"
"Cinderella","Beagle Pug Films"
"Cinderella","Allison Shearmur Productions"
"Transcendence","Alcon Entertainment"
"Transcendence","Syncopy"
"Transcendence","DMG Entertainment"
"Transcendence","Straight Up Films"
"Unstoppable","Twentieth Century Fox Film Corporation"
"Unstoppable","Scott Free Productions"
"Unstoppable","Firm Films"
"Unstoppable","Prospect Park"
"Unstoppable","Millbrook Farm Productions"
"Mulan","Walt Disney Pictures"
"Mulan","Walt Disney Feature Animation"
"Valkyrie","United Artists"
"Valkyrie","Achte Babelsberg Film"
"Valkyrie","Metro-Goldwyn-Mayer (MGM)"
"Valkyrie","Bad Hat Harry Productions"
"Pixels","Columbia Pictures"
"Pixels","Happy Madison Productions"
"Contact","Warner Bros."
"Contact","South Side Amusement Company"
"Rio","Blue Sky Studios"
"Rio","Twentieth Century Fox Animation"
"Volcano","Twentieth Century Fox Film Corporation"
"Seabiscuit","Universal Pictures"
"Seabiscuit","Spyglass Entertainment"
"Seabiscuit","The Kennedy/Marshall Company"
"Seabiscuit","DreamWorks Pictures"
"Seabiscuit","Touchstone Pictures"
"Twister","Universal Pictures"
"Twister","Amblin Entertainment"
"Twister","Warner Bros."
"Twister","Constant c Productions"
"Enchanted","Walt Disney Pictures"
"Enchanted","Josephson Entertainment"
"Enchanted","Andalasia Productions"
"Enchanted","Right Coast Productions"
"Divergent","Summit Entertainment"
"Divergent","Red Wagon Entertainment"
"Dredd","DNA Films"
"Dredd","Reliance BIG Entertainment"
"Dredd","IM Global"
"Dredd","Rena Film"
"Dredd","Peach Trees"
"Click","Original Film"
"Click","Columbia Pictures Corporation"
"Click","Revolution Studios"
"Click","Happy Madison Productions"
"Creepshow","Warner Bros."
"Creepshow","Creepshow Films Inc."
"Creepshow","Laurel Entertainment Inc."
"Jumper","Dune Entertainment"
"Jumper","Hypnotic"
"Jumper","New Regency Pictures"
"Zodiac","Paramount Pictures"
"Zodiac","Warner Bros."
"Zodiac","Phoenix Pictures"
"Robots","Blue Sky Studios"
"Robots","Twentieth Century Fox Animation"
"Flubber","Walt Disney Pictures"
"Flubber","Great Oaks Entertainment"
"Fury","Columbia Pictures"
"Fury","QED International"
"Fury","Crave Films"
"Fury","LStar Capital"
"Fury","Huayi Brothers Media"
"Fury","Le Grisbi Productions"
"Zookeeper","Columbia Pictures"
"Zookeeper","Happy Madison Productions"
"Zookeeper","Sony Pictures Releasing"
"Zookeeper","Broken Road Productions"
"Zookeeper","Metro-Goldwyn-Mayer (MGM)"
"Zookeeper","Zookeeper Productions"
"Zookeeper","Hey Eddie"
"Swordfish","Village Roadshow Pictures"
"Swordfish","NPV Entertainment"
"Swordfish","Silver Pictures"
"Swordfish","Warner Bros."
"Swordfish","Jonathan Krane Group"
"Surrogates","Touchstone Pictures"
"Surrogates","Mandeville Films"
"Surrogates","Wintergreen Productions"
"Surrogates","Top Shelf Productions"
"Daylight","Universal Pictures"
"Daylight","Davis Entertainment"
"Nine","The Weinstein Company"
"Nine","Relativity Media"
"Timeline","Paramount Pictures"
"Timeline","Donners' Company"
"Timeline","Mutual Film Company"
"Timeline","Cobalt Media Group"
"Timeline","Artists Production Group (APG)"
"Oceans","Pathé Films"
"Oceans","Canal+"
"Oceans","TPS Star"
"Oceans","Participant Media"
"Oceans","France Télévision"
"Oceans","France 2 Cinéma"
"Oceans","France 3 Cinema"
"Oceans","Centre National de la Cinématographie (CNC)"
"Oceans","Conseil Régional du Calvados"
"Oceans","Région Bretagne"
"Oceans","Ministère du Développement Durable et de la Mer"
"Oceans","JMH-TSR"
"Oceans","HH Sheikha Salama bint Hamdan Al Nahyan"
"Oceans","Conseil Général des Côtes d'Armor"
"Oceans","Conseil Général du Morbihan"
"Oceans","Région Basse-Normandie"
"Pompeii","Impact Pictures"
"Pompeii","TriStar Pictures"
"Pompeii","Don Carmody Productions"
"Pompeii","FilmDistrict"
"Pompeii","Constantin Film International"
"Hidalgo","Casey Silver Productions"
"Hidalgo","Touchstone Pictures"
"Hidalgo","Dune Films"
"Madagascar","DreamWorks SKG"
"Madagascar","Pacific Data Images (PDI)"
"Madagascar","DreamWorks Animation"
"Wanted","Universal Pictures"
"Wanted","Spyglass Entertainment"
"Wanted","Bazelevs Production"
"Wanted","Kickstart Productions"
"Wanted","Marc Platt Productions"
"Wanted","Top Cow Productions"
"Wanted","Relativity Media"
"Wanted","Ringerike Zweite Filmproduktion"
"Wanted","Revolution Sun Studios"
"Hairspray","New Line Cinema"
"Hairspray","Ingenious Film Partners"
"Hairspray","Offspring Entertainment"
"Hairspray","Zadan / Meron Productions"
"Dreamgirls","Paramount Pictures"
"Dreamgirls","DreamWorks SKG"
"Dreamgirls","Laurence Mark Productions"
"Munich","DreamWorks SKG"
"Munich","Universal Pictures"
"Munich","Amblin Entertainment"
"Munich","Peninsula Films"
"Munich","Alliance Atlantis Communications"
"Munich","Kennedy/Marshall Company, The"
"Munich","Barry Mendel Productions"
"Killers","Katalyst Films"
"Killers","Lionsgate"
"Killers","Aversano Films"
"Spanglish","Gracie Films"
"Spanglish","Columbia Pictures Corporation"
"Bandits","Cheyenne Enterprises"
"Bandits","Epsilon Motion Pictures"
"Bandits","Empire Pictures"
"Bandits","Metro-Goldwyn-Mayer (MGM)"
"Bandits","Hyde Park Entertainment"
"Bandits","Baltimore Spring Creek Productions"
"Bandits","Lotus Pictures"
"Immortals","Virgin Produced"
"Immortals","Mark Canton Productions"
"Hostage","Miramax Films"
"Hostage","Cheyenne Enterprises"
"Hostage","Yari Film Group"
"Hostage","Stratus Film Co."
"Hostage","Syndicate Films International"
"Hostage","Equity Pictures Medienfonds GmbH & Co. KG II"
"Hostage","Hostage GmbH"
"Soldier","Impact Pictures"
"Soldier","Jerry Weintraub Productions"
"Soldier","Warner Bros."
"Soldier","Morgan Creek Productions"
"Carriers","Paramount Vantage"
"Carriers","Likely Story"
"Carriers","Ivy Boy Productions"
"Carriers","This Is That Productions"
"Monkeybone","Twentieth Century Fox Film Corporation"
"Monkeybone","1492 Pictures"
"Monkeybone","Twitching Image Studio"
"Unbreakable","Limited Edition Productions Inc."
"Unbreakable","Touchstone Pictures"
"Unbreakable","Blinding Edge Pictures"
"Unbreakable","Barry Mendel Productions"
"Minions","Universal Pictures"
"Minions","Illumination Entertainment"
"Sphere","Punch Productions"
"Sphere","Warner Bros."
"Sphere","Baltimore Pictures"
"Sphere","Constant c Productions"
"Braveheart","Icon Entertainment International"
"Braveheart","The Ladd Company"
"Braveheart","B.H. Finance C.V."
"Jarhead","Universal Pictures"
"Jarhead","Neal Street Productions"
"Jarhead","Red Wagon Entertainment"
"Jarhead","Motion Picture KAPPA Produktionsgesellschaft"
"Driven","Epsilon Motion Pictures"
"Driven","Franchise Pictures"
"Driven","Trackform Film Productions"
"Driven","Mel's Cite du Cinema"
"Signs","Kennedy/Marshall Company, The"
"Signs","Touchstone Pictures"
"Signs","Blinding Edge Pictures"
"Cars","Walt Disney Pictures"
"Cars","Pixar Animation Studios"
"xXx","Columbia Pictures"
"xXx","Original Film"
"xXx","Revolution Studios"
"Ransom","Touchstone Pictures"
"Ransom","Brian Grazer/Scott Rudin Productions"
"Hook","Amblin Entertainment"
"Hook","TriStar Pictures"
"Wolf","Columbia Pictures"
"Stardust","Paramount Pictures"
"Stardust","Ingenious Film Partners"
"Stardust","Di Bonaventura Pictures"
"Stardust","Marv Films"
"Stardust","Vaughn Productions"
"Doom","Di Bonaventura Pictures"
"Doom","John Wells Productions"
"Doom","Reaper Productions"
"Doom","Stillking Films"
"Doom","Babelsberg Film"
"Doom","Doom Productions"
"Doom","Distant Planet Productions"
"Rollerball","Atlas Entertainment"
"Rollerball","Toho-Towa"
"Rollerball","Mosaic Media Group"
"Rollerball","Yorktown Productions"
"Rollerball","Helkon Media AG"
"Rollerball","Metro-Goldwyn-Mayer (MGM)"
"Blackhat","Universal Pictures"
"Blackhat","Forward Pass"
"Blackhat","Legendary Pictures"
"Agora","Himenóptero"
"Agora","Telecinco Cinema"
"Agora","Mod Producciones"
"Agora","Nimar Studios"
"Agora","Canal+ España"
"Agora","Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA)"
"Agora","Government of Malta"
"Entrapment","Fountainbridge Films"
"Entrapment","Regency Enterprises"
"Dreamcatcher","Village Roadshow Pictures"
"Dreamcatcher","Castle Rock Entertainment"
"Dreamcatcher","NPV Entertainment"
"Dreamcatcher","Kasdan Pictures"
"Dreamcatcher","WV Films II"
"Lincoln","DreamWorks"
"Lincoln","Amblin Entertainment"
"Lincoln","Twentieth Century Fox Film Corporation"
"Lincoln","Dune Entertainment"
"Lincoln","The Kennedy/Marshall Company"
"Lincoln","Participant Media"
"Lincoln","Reliance Entertainment"
"Unbroken","Legendary Pictures"
"Unbroken","3 Arts Entertainment"
"Unbroken","Jolie Pas"
"Cliffhanger","TriStar Pictures"
"Cliffhanger","Canal+"
"Cliffhanger","Carolco Pictures"
"Cliffhanger","RCS Video"
"Cliffhanger","Cliffhanger Productions"
"Cliffhanger","Pioneer"
"Annie","Columbia Pictures"
"Annie","Olive Bridge Entertainment"
"Annie","Sony Pictures Entertainment (SPE)"
"Annie","Overbrook Entertainment"
"Annie","Marcy Media"
"Focus","Kramer & Sigman Films"
"Focus","RatPac-Dune Entertainment"
"Focus","Zaftig Films"
"Elektra","Twentieth Century Fox Film Corporation"
"Elektra","Regency Enterprises"
"Elektra","Epsilon Motion Pictures"
"Elektra","New Regency Pictures"
"Elektra","Marvel Enterprises"
"Elektra","Horseshoe Bay Productions"
"Elektra","Elektra Productions"
"Elektra","SAI Productions"
"Everest","Universal Pictures"
"Everest","Working Title Films"
"Everest","Walden Media"
"Everest","Cross Creek Pictures"
"Everest","Free State Pictures"
"Everest","RVK Studios"
"Hop","Universal Pictures"
"Hop","Illumination Entertainment"
"300","Virtual Studios"
"300","Legendary Pictures"
"300","Hollywood Gang Productions"
"300","Atmosphere Entertainment MM"
"300","Warner Bros."
"300","Nimar Studios"
"300","Cruel and Unusual Films"
"GoldenEye","United Artists"
"GoldenEye","Eon Productions"
"Antz","DreamWorks SKG"
"Antz","Pacific Data Images (PDI)"
"Antz","DreamWorks Animation"
"RED","DC Comics"
"RED","Di Bonaventura Pictures"
"RED","Summit Entertainment"
"RED","DC Entertainment"
"Collateral","Paramount Pictures"
"Collateral","DreamWorks SKG"
"Collateral","Parkes/MacDonald Productions"
"Collateral","Edge City"
"Contagion","Double Feature Films"
"Contagion","Regency Enterprises"
"Contagion","Warner Bros."
"Contagion","Participant Media"
"Contagion","Imagenation Abu Dhabi FZ"
"Coraline","Focus Features"
"Coraline","Laika Entertainment"
"Hellboy","Revolution Studios"
"Hellboy","Dark Horse Entertainment"
"Hellboy","Lawrence Gordon Productions"
"Hellboy","Starlite Films"
"ParaNorman","Focus Features"
"ParaNorman","Laika Entertainment"
"Paycheck","Paramount Pictures"
"Paycheck","DreamWorks SKG"
"Paycheck","Davis Entertainment"
"Paycheck","Lion Rock Productions"
"Paycheck","Province of British Columbia Film Incentive BC"
"Paycheck","Solomon/Hackett Productions"
"Joy","Fox 2000 Pictures"
"Joy","Davis Entertainment"
"Joy","Annapurna Pictures"
"Joy","TSG Entertainment"
"Shooter","Paramount Pictures"
"Shooter","Di Bonaventura Pictures"
"Shooter","Grosvenor Park Impact Productions"
"Invictus","Spyglass Entertainment"
"Invictus","Malpaso Productions"
"Invictus","Revelations Entertainment"
"Invictus","Mace Neufeld Productions"
"Invictus","Warner Bros."
"Invictus","Liberty Pictures (II)"
"Duplicity","Universal Pictures"
"Duplicity","Laura Bickford Productions"
"Duplicity","Relativity Media"
"Duplicity","Medienproduktion Poseidon Filmgesellschaft"
"Priest","Screen Gems"
"Priest","Stars Road Entertainment"
"Priest","Buckaroo Entertainment"
"Priest","Michael De Luca Productions"
"Priest","TOKYOPOP"
"Dragonfly","Universal Pictures"
"Dragonfly","Spyglass Entertainment"
"Dragonfly","Shady Acres Entertainment"
"Dragonfly","Gran Via Productions"
"Dragonfly","Kalima Productions GmbH & Co. KG"
"Dragonfly","NDE Productions"
"Flyboys","Ingenious Film Partners"
"Flyboys","Electric Entertainment"
"Flyboys","Skydance Productions"
"Flyboys","Flyboys Films"
"Supernova","United Artists"
"Supernova","Metro-Goldwyn-Mayer (MGM)"
"Supernova","Hammerhead Productions"
"Supernova","Screenland Pictures"
"Edtv","Imagine Entertainment"
"Edtv","Universal Pictures"
"Inkheart","New Line Cinema"
"Inkheart","Internationale Filmproduktion Blackbird Erste"
"Mortdecai","Lionsgate"
"Mortdecai","Mad Chance"
"Mortdecai","OddLot Entertainment"
"Mortdecai","Huayi Brothers Media"
"Deadpool","Twentieth Century Fox Film Corporation"
"Deadpool","Marvel Entertainment"
"Deadpool","The Donners' Company"
"Deadpool","TSG Entertainment"
"Deadpool","Kinberg Genre"
"Goosebumps","Columbia Pictures"
"Goosebumps","Village Roadshow Pictures"
"Goosebumps","Original Film"
"Goosebumps","Sony Pictures Animation"
"Goosebumps","Sony Pictures Entertainment (SPE)"
"Goosebumps","Scholastic Entertainment"
"Goosebumps","LStar Capital"
"Leatherheads","Universal Pictures"
"Leatherheads","Casey Silver Productions"
"Leatherheads","Outlaw Productions (I)"
"Leatherheads","Smokehouse Pictures"
"DragonHeart","Universal Pictures"
"Pocahontas","Walt Disney Pictures"
"Pocahontas","Walt Disney Feature Animation"
"Superman","Warner Bros."
"Superman","Dovemead Films"
"Superman","Film Export A.G."
"Hitch","Columbia Pictures Corporation"
"Hitch","Overbrook Entertainment"
"Casper","Universal Pictures"
"Casper","Amblin Entertainment"
"Casper","The Harvey Entertainment Company"
"Flightplan","Imagine Entertainment"
"Flightplan","Touchstone Pictures"
"Disclosure","Warner Bros."
"Disclosure","Baltimore Pictures"
"Bowfinger","Universal Pictures"
"Evita","Hollywood Pictures"
"Evita","Cinergi Pictures Entertainment"
"Ronin","United Artists"
"Ronin","FGM Entertainment"
"Paddington","The Weinstein Company"
"Paddington","StudioCanal"
"Paddington","TF1 Films Production"
"Paddington","Canal+"
"Paddington","Heyday Films"
"Paddington","Ciné+"
"Paddington","Anton Capital Entertainment (ACE)"
"Paddington","TF1"
"Paddington","Amazon Prime Instant Video"
"Instinct","Spyglass Entertainment"
"Instinct","Touchstone Pictures"
"Changeling","Imagine Entertainment"
"Changeling","Malpaso Productions"
"Changeling","Relativity Media"
"Turbulence","Metro-Goldwyn-Mayer (MGM)"
"Turbulence","Rysher Entertainment"
"Thunderbirds","Studio Canal"
"Thunderbirds","Working Title Films"
"Thunderbirds","Tracy Films"
"Burlesque","Bedford Falls Productions"
"Lolita","Seven Arts Productions"
"Lolita","Allied Artists"
"Lolita","Transworld Pictures"
"Elizabethtown","Paramount Pictures"
"Elizabethtown","Cruise/Wagner Productions"
"Elizabethtown","Vinyl Films"
"Elizabethtown","KMP Film Invest"
"Gigli","City Light Films"
"Gigli","Revolution Studios"
"Gigli","Casey Silver Productions"
"Shaft","Paramount Pictures"
"Shaft","Scott Rudin Productions"
"Anastasia","Twentieth Century Fox Film Corporation"
"Anastasia","Fox Animation Studios"
"Anastasia","Fox Family Films"
"Anastasia","The Big Gun Project"
"Anastasia","Little Wolf Entertainment"
"Grindhouse","Big Talk Productions"
"Grindhouse","Yer Dead Productions"
"Grindhouse","Weinstein Company, The"
"Grindhouse","Dimension Films"
"Grindhouse","Troublemaker Studios"
"Grindhouse","Dartmouth International"
"Grindhouse","Eyetronics"
"Grindhouse","Rodriguez International Pictures"
"Beloved","Harpo Films"
"Beloved","Touchstone Pictures"
"Casino","Universal Pictures"
"Casino","Légende Entreprises"
"Casino","Syalis DA"
"Casino","De Fina-Cappa"
"Barnyard","Paramount Pictures"
"Barnyard","Nickelodeon Movies"
"Barnyard","Paramount Animation"
"Shrek","DreamWorks SKG"
"Shrek","Pacific Data Images (PDI)"
"Shrek","DreamWorks Animation"
"Ted","Universal Pictures"
"Ted","Media Rights Capital"
"Ted","Fuzzy Door Productions"
"Stepmom","Columbia Pictures"
"Stepmom","1492 Pictures"
