title,productor
"Payback","Paramount Pictures"
"Payback","Icon Entertainment International"
"Congo","Paramount Pictures"
"Congo","Kennedy/Marshall Company, The"
"Knowing","Summit Entertainment"
"Knowing","Mystery Clock Cinema"
"Knowing","Escape Artists"
"Knowing","Goldcrest Pictures"
"Knowing","Kaplan/Perrone Entertainment"
"Knowing","Wintergreen Productions"
"Garfield","Twentieth Century Fox Film Corporation"
"Garfield","Davis Entertainment"
"Garfield","Twentieth Century Fox Animation"
"Moneyball","Columbia Pictures"
"Moneyball","Scott Rudin Productions"
"Outbreak","Kopelson Entertainment"
"Outbreak","Punch Productions"
"Outbreak","Warner Bros."
"Outbreak","Arnold Kopelson Productions"
"Unfaithful","Regency Enterprises"
"Unfaithful","Fox 2000 Pictures"
"Unfaithful","Epsilon Motion Pictures"
"Unfaithful","Unfaithful Filmproduktion GmbH & Co. KG"
"Syriana","Section Eight"
"Syriana","Warner Bros."
"Syriana","Participant Media"
"Syriana","FilmWorks"
"Syriana","4M"
"Syriana","MID Foundation"
"Firewall","Village Roadshow Pictures"
"Firewall","Thunder Road Pictures"
"Firewall","Warner Bros."
"Firewall","Beacon Pictures"
"Firewall","Jon Shestack Productions"
"Striptease","Columbia Pictures"
"Striptease","Castle Rock Entertainment"
"Marmaduke","Twentieth Century Fox Film Corporation"
"Hereafter","Amblin Entertainment"
"Hereafter","Malpaso Productions"
"Hereafter","Warner Bros."
"Hereafter","Kennedy/Marshall Company, The"
"Assassins","Silver Pictures"
"Assassins","Canal+"
"Assassins","Warner Bros."
"Assassins","Dino De Laurentiis Company"
"Assassins","Donner/Shuler-Donner Productions"
"Assassins","Evansgideon/Lazar"
"Basic","Intermedia Films"
"Basic","Krane Entertainment"
"Domino","New Line Cinema"
"Domino","Davis-Films"
"Domino","Metropolitan Filmexport"
"Domino","Scott Free Productions"
"Domino","Domino 17521"
"Jade","Paramount Pictures"
"Gamer","Lakeshore Entertainment"
"Gamer","Lionsgate"
"Traffic","USA Films"
"Traffic","Initial Entertainment Group (IEG)"
"Traffic","Bedford Falls Company, The"
"Traffic","Compulsion Inc."
"Traffic","Splendid Medien AG"
"Chappie","Columbia Pictures"
"Chappie","Media Rights Capital"
"Chappie","Sony Pictures Entertainment (SPE)"
"Chappie","Alpha Core"
"Chappie","Genre Films"
"Chappie","Simon Kinberg Productions"
"Chappie","LStar Capital"
"Chappie","Ollin Studio"
"Bedazzled","Twentieth Century Fox Film Corporation"
"Bedazzled","Regency Enterprises"
"Bedazzled","KirchMedia"
"Insomnia","Section Eight"
"Insomnia","Alcon Entertainment"
"Insomnia","Witt/Thomas Productions"
"Inchon","Metro-Goldwyn-Mayer (MGM)"
"Inchon","Unification Church"
"Inchon","One Way Productions"
"Prisoners","Alcon Entertainment"
"Prisoners","Madhouse Entertainment"
"Prisoners","8:38 Productions"
"Blade","New Line Cinema"
"Blade","Amen Ra Films"
"Blade","Imaginary Forces"
"Blade","Marvel Enterprises"
"Anaconda","Columbia Pictures Corporation"
"Anaconda","Middle Fork Productions"
"Anaconda","Iguana Producciones"
"Anaconda","Skylight Cinema Foto Art"
"Anaconda","St. Tropez Films"
"Anaconda","Cinema Line Film Corporation"
"Blended","Happy Madison Productions"
"Blended","Karz Entertainment"
"Blended","Warner Bros."
"Blended","Gulfstream Pictures"
"Savages","Ixtlan"
"Savages","Relativity Media"
"Savages","Onda Entertainment"
"Cellular","New Line Cinema"
"Dune","Dino De Laurentiis Company"
"Multiplicity","Columbia Pictures Corporation"
"Nixon","Hollywood Pictures"
"Nixon","Cinergi Pictures Entertainment"
"Argo","GK Films"
"Argo","Warner Bros."
"Argo","Smokehouse Pictures"
"Sleepers","Propaganda Films"
"Sleepers","Warner Bros."
"Sleepers","Baltimore Pictures"
"Pinocchio","RKO Radio Pictures"
"Pinocchio","Walt Disney Productions"
"Unleashed","Canal Plus"
"Unleashed","Current Entertainment"
"Unleashed","Clubdeal"
"Unleashed","TF1 Films Production"
"Unleashed","EuropaCorp"
"Unleashed","Qian Yian International"
"Unleashed","Danny the Dog Prods Ltd."
"Boomerang","Paramount Pictures"
"Cleopatra","Twentieth Century Fox Film Corporation"
"Cleopatra","MCL Films S.A."
"Cleopatra","Walwa Films S.A."
"Lucy","Universal Pictures"
"Lucy","TF1 Films Production"
"Lucy","Canal+"
"Lucy","EuropaCorp"
"Lucy","Ciné+"
"Dracula","American Zoetrope"
"Dracula","Columbia Pictures Corporation"
"Dracula","Osiris Films"
"42","Warner Bros."
"Ray","Universal Pictures"
"Ray","Bristol Bay Productions"
"Ray","Baldwin Entertainment Group"
"Ray","Anvil Films"
"JFK","Camelot Productions"
"JFK","Canal Plus Group"
"JFK","Ixtlan Productions"
"JFK","Warner Bros."
"Spawn","New Line Cinema"
"Spawn","Pull Down Your Pants Pictures"
"Spawn","Todd McFarlane Entertainment"
"Unknown","Studio Babelsberg"
"Unknown","StudioCanal"
"Unknown","Dark Castle Entertainment"
"Unknown","TF1 Films Production"
"Unknown","Canal+"
"Unknown","Panda Productions Inc."
"Unknown","Horticus UK"
"Apocalypto","Icon Productions"
"Apocalypto","Icon Entertainment International"
"Apocalypto","Touchstone Pictures"
"Predators","Twentieth Century Fox Film Corporation"
"Predators","Davis Entertainment"
"Predators","Dune Entertainment III"
"Predators","Troublemaker Studios"
"Gothika","Columbia Pictures Corporation"
"Gothika","Dark Castle Entertainment"
"Gothika","Warner Bros."
"Amistad","DreamWorks SKG"
"Paul","Universal Pictures"
"Paul","Big Talk Productions"
"Paul","Relativity Media"
"Paul","Working Title Films"
"8MM","Columbia Pictures Corporation"
"8MM","Hofflund/Polone"
"8MM","Global Entertainment Productions GmbH & Company Medien KG"
"Rent","Columbia Pictures"
"Rent","1492 Pictures"
"Rent","Revolution Studios"
"Colombiana","TF1 Films Production"
"Colombiana","Canal+"
"Colombiana","CinéCinéma"
"Colombiana","Grive Productions"
"Colombiana","EuropaCorp"
"Colombiana","A.J.O.Z. Films"
"Torque","Village Roadshow Pictures"
"Torque","Original Film"
"Torque","Warner Bros."
"Showgirls","United Artists"
"Showgirls","Le Studio Canal+"
"Showgirls","Carolco Pictures"
"Ishtar","Columbia Pictures"
"Alfie","Paramount Pictures"
"Alfie","Patalex Productions"
"FearDotCom","Milagro Films"
"FearDotCom","Franchise Pictures"
"FearDotCom","DoRo Fiction Film"
"FearDotCom","Signature Pictures"
"FearDotCom","ApolloMedia Distribution"
"FearDotCom","Carousel Picture Company, The"
"FearDotCom","Luxembourg Film Fund"
"FearDotCom","Filmyard Underwaterdeco"
"Duplex","Miramax Films"
"Duplex","Flower Films"
"Pandorum","Impact Pictures"
"Pandorum","Constantin Film Produktion"
"Impostor","Dimension Films"
"Impostor","Marty Katz Productions"
"Impostor","Mojo Films"
"Impostor","PK Pictures"
"Sunshine","DNA Films"
"Sunshine","Ingenious Film Partners"
"Sunshine","UK Film Council"
"Sunshine","Moving Picture Company (MPC)"
"Delgo","Fathom Studios"
"Delgo","Electric Eye Entertainment Corporation"
"Stormbreaker","Isle of Man Film"
"Stormbreaker","Weinstein Company, The"
"Stormbreaker","Samuelson Productions"
"Disturbia","Paramount Pictures"
"Disturbia","DreamWorks SKG"
"Disturbia","Cold Spring Pictures"
"Disturbia","Montecito Picture Company, The"
"Hackers","United Artists"
"Hackers","Suftley"
"Nomad","Wild Bunch"
"Nomad","Ibrus"
"Nomad","Kazakhfilm Studios"
"Nomad","True Story Production"
"Snowpiercer","CJ Entertainment"
"Snowpiercer","Opus Pictures"
"Snowpiercer","Stillking Films"
"Snowpiercer","SnowPiercer"
"Snowpiercer","Moho Film"
"Frankenweenie","Tim Burton Productions"
"Serenity","Universal Pictures"
"Serenity","Barry Mendel Productions"
"Enough","Winkler Films"
"Heartbreakers","Davis Entertainment"
"Heartbreakers","Metro-Goldwyn-Mayer (MGM)"
"Precious","Smokewood Entertainment Group"
"Riddick","One Race Productions"
"Riddick","Radar Pictures"
"Riddick","Riddick Canada Productions"
"Switchback","Paramount Pictures"
"Switchback","Pacific Western"
"Switchback","Rysher Entertainment"
"Creed","New Line Cinema"
"Creed","Warner Bros."
"Creed","Metro-Goldwyn-Mayer (MGM)"
"Creed","Chartoff Winkler Productions"
"Rush","Revolution Films"
"Rush","Working Title Films"
"Rush","Cross Creek Pictures"
"Rush","Exclusive Media Group"
"Rush","Double Negative"
"Magnolia","New Line Cinema"
"Magnolia","Ghoulardi Film Company"
"Magnolia","The Magnolia Project"
"Twilight","Summit Entertainment"
"Twilight","Maverick Films"
"Twilight","Imprint Entertainment"
"Twilight","Goldcrest Pictures"
"Twilight","Temple Hill Entertainment"
"Twilight","Twilight Productions"
"Breakdown","Paramount Pictures"
"Breakdown","Dino De Laurentiis Company"
"Breakdown","Spelling Films"
"Aloha","Scott Rudin Productions"
"Aloha","Vinyl Films"
"Gattaca","Columbia Pictures"
"Gattaca","Jersey Films"
"Batman","PolyGram Filmed Entertainment"
"Batman","The Guber-Peters Company"
"Batman","Warner Bros."
"21","Columbia Pictures"
"21","Relativity Media"
"Trainwreck","Universal Pictures"
"Trainwreck","Fuji Television Network"
"Trainwreck","Dentsu"
"Trainwreck","Apatow Productions"
"Species","Metro-Goldwyn-Mayer (MGM)"
"Secretariat","Walt Disney Pictures"
"Secretariat","Fast Track Productions"
"Secretariat","Mayhem Pictures"
"TMNT","The Weinstein Company"
"TMNT","Imagi Animation Studios"
"TMNT","Warner Bros."
"TMNT","Mirage Studios"
"TMNT","Imagi Production"
"Radio","Revolution Studios"
"Radio","Tollin/Robbins Productions"
"Poltergeist","SLM Production Group"
"Poltergeist","Metro-Goldwyn-Mayer (MGM)"
"Closer","Columbia Pictures"
"Mirrors","Regency Enterprises"
"Mirrors","Castel Film Romania"
"Mirrors","ASAF"
"Mirrors","New Regency Pictures"
"Mirrors","Luna Pictures"
"Untraceable","Lakeshore Entertainment"
"Untraceable","Cohen/Pearl Productions"
"Untraceable","Screen Gems"
"Heist","Emmett/Furla Films"
"Heist","Silver Plane Films"
"Heist","Mass Hysteria Entertainment"
"Heist","Tri Vision Pictures"
"Hoffa","Jersey Films"
"Hoffa","Twentieth Century Fox Film Corporation"
"Concussion","Columbia Pictures"
"Concussion","Village Roadshow Pictures"
"Concussion","Scott Free Productions"
"Concussion","LStar Capital"
"Concussion","The Cantillon Company"
"Concussion","The Shuman Company"
"Abduction","Lions Gate Films"
"Abduction","Vertigo Entertainment"
"Abduction","Gotham Group"
"Abduction","Tailor Made"
"Abduction","Mango Farms"
"Abduction","Quick Six Entertainment"
"Valiant","Vanguard Films"
"Valiant","Scanbox"
"Cursed","Craven-Maddalena Films"
"Cursed","Outerbanks Entertainment"
"Cursed","Dimension Films"
"Cursed","Kalis Productions GmbH & Co. Zweite KG"
"Parker","SND"
"Wimbledon","Universal Pictures"
"Bait","Pictures in Paradise"
"Bait","Screen Australia"
"Bait","Media Development Authority (MDA)"
"Bait","Screen Queensland"
"Bait","Bait Productions"
"Bait","Story Bridge Films"
"Bait","Blackmagic Design Films"
"Krull","Columbia Pictures Corporation"
"Krull","Barclays Mercantile Industrial Finance"
"Whiteout","StudioCanal"
"Whiteout","Dark Castle Entertainment"
"Whiteout","Don Carmody Productions"
"Whiteout","Warner Bros."
"Whiteout","Canadian Film or Video Production Tax Credit (CPTC)"
"Whiteout","Ontario Media Development Corporation (OMDC)"
"Whiteout","Manitoba Film and Video Production Tax Credit"
"Whiteout","McMurdo (Canada) Productions"
"Sabotage","Open Road Films"
"Sabotage","QED International"
"Sabotage","Albert S. Ruddy Productions"
"Sabotage","Crave Films"
"Sabotage","Roth Films"
"Zoom","Columbia Pictures"
"Zoom","Revolution Studios"
"Biutiful","Ikiru Films"
"Biutiful","Mod Producciones"
"Biutiful","Televisión Española (TVE)"
"Biutiful","Menageatroz"
"Biutiful","Televisió de Catalunya (TV3)"
"Biutiful","Focus Features"
"Bandidas","Ultra Films"
"Bandidas","TF1 Films Production"
"Bandidas","Canal+"
"Bandidas","TPS Star"
"Bandidas","EuropaCorp"
"Bandidas","A.J.O.Z. Films"
"Stolen","Saturn Films"
"Stolen","Nu Image Films"
"Stolen","Millennium Films"
"Reds","Barclays Mercantile Industrial Finance"
"Reds","JRS Productions"
"Safe","Lawrence Bender Productions"
"Safe","IM Global"
"Safe","Automatik Entertainment"
"Safe","Trigger Street Productions"
"Safe","87Eleven"
"Doomsday","Rogue Pictures"
"Doomsday","Intrepid Pictures"
"Doomsday","Scion Films"
"Doomsday","Moonlighting Films"
"Doomsday","Internationale Filmproduktion Blackbird Dritte"
"Doomsday","Crystal Sky Pictures"
"Wanderlust","Relativity Media"
"Wanderlust","Apatow Productions"
"Wanderlust","A Hot Dog"
"Elf","New Line Cinema"
"Elf","Gold/Miller Productions"
"Elf","Guy Walks into a Bar Productions"
"Phenomenon","Touchstone Pictures"
"Scrooged","Paramount Pictures"
"Bridesmaids","Universal Pictures"
"Bridesmaids","Relativity Media"
"Bridesmaids","Apatow Productions"
"Stigmata","FGM Entertainment"
"Stigmata","Metro-Goldwyn-Mayer (MGM)"
"Takers","Rainforest Films"
"Alive","Paramount Pictures"
"Alive","Touchstone Pictures"
"1941","Columbia Pictures"
"1941","Universal Pictures"
"1941","A-Team"
"Bogus","Regency Enterprises"
"Bogus","Yorktown Productions"
"Bogus","Warner Bros."
"Criminal","Lionsgate"
"Criminal","BenderSpink"
"Criminal","Millennium Films"
"Criminal","Fipex Holding"
"Criminal","Campbell Grobman Films"
"Criminal","Criminal Productions"
"Flight","Paramount Pictures"
"Flight","Parkes/MacDonald Productions"
"Flight","ImageMovers"
"Moonraker","United Artists"
"Moonraker","Eon Productions"
"Arachnophobia","Amblin Entertainment"
"Arachnophobia","Hollywood Pictures"
"Arachnophobia","Tangled Web Productions"
"Frequency","New Line Cinema"
"Vacation","New Line Cinema"
"Vacation","BenderSpink"
"Vacation","David Dobkin Productions"
"Chicago","Miramax Films"
"Chicago","Producers Circle"
"Chicago","Storyline Entertainment"
"Speed","Twentieth Century Fox Film Corporation"
"Se7en","New Line Cinema"
"Se7en","Juno Pix"
"Se7en","Cecchi Gori Pictures"
"Looper","Endgame Entertainment"
"Looper","FilmDistrict"
"Looper","DMG Entertainment"
"Looper","Ram Bergman Productions"
"Babe","Universal Pictures"
"Babe","Kennedy Miller Productions"
"Blow","New Line Cinema"
"Atonement","Universal Pictures"
"Atonement","Studio Canal"
"Atonement","Relativity Media"
"Atonement","Working Title Films"
"Sicario","Lionsgate"
"Sicario","Thunder Road Pictures"
"Sicario","Black Label Media"
"Southpaw","Escape Artists"
"Southpaw","Riche-Ludwig Productions"
"Hanna","Focus Features"
"Hanna","Neunte Babelsberg Film"
"Hanna","Holleran Company"
"Hanna","Sechzehnte Babelsberg Film"
"Carrie","Screen Gems"
"Carrie","Metro-Goldwyn-Mayer (MGM)"
"Carrie","Misher Films"
"9","Focus Films"
"9","Starz Animation"
"9","Relativity Media"
"9","Tim Burton Productions"
"9","Arc Productions"
"Bulworth","Twentieth Century Fox Film Corporation"
"Virtuosity","Paramount Pictures"
"Sanctum","Universal Pictures"
"Sanctum","Wayfare Entertainment"
"Sanctum","Sanctum Australia"
"Sanctum","Relativity Media"
"Sanctum","Great Wight Productions/ Osford Films"
"Sanctum","Start Motion Pictures"
"Ultraviolet","Screen Gems"
"Ultraviolet","Ultravi Productions"
"Fled","Metro-Goldwyn-Mayer (MGM)"
"Splice","Gaumont"
"Splice","Dark Castle Entertainment"
"Splice","Senator Entertainment Co"
"Splice","Copperheart Entertainment"
"Godsend","Lions Gate Films"
"Godsend","2929 Productions"
"Godsend","Artists Production Group (APG)"
"Godsend","Blue Productions"
"Antitrust","Industry Entertainment"
"Antitrust","Epsilon Motion Pictures"
"Antitrust","Hyde Park Films"
"Antitrust","Metro-Goldwyn-Mayer (MGM)"
"Glory","TriStar Pictures"
"Glory","Freddie Fields Productions"
"Supercross","Tag Entertainment"
"Mumford","Touchstone Pictures"
"Aladdin","Walt Disney Pictures"
"Miracle","Walt Disney"
"Identity","Konrad Pictures"
"Identity","Columbia Pictures Corporation"
"Serendipity","Miramax Films"
"Serendipity","Tapestry Films"
"Serendipity","Simon Fields Productions"
"Timecop","Universal Pictures"
"Timecop","Renaissance Pictures"
"Timecop","Dark Horse Entertainment"
"Timecop","Largo Entertainment"
"Timecop","Signature Pictures"
"Timecop","JVC Entertainment Networks"
"Zoolander","Paramount Pictures"
"Zoolander","Village Roadshow Pictures"
"Zoolander","NPV Entertainment"
"Zoolander","Scott Rudin Productions"
"Zoolander","Red Hour Productions"
"Zoolander","Tenth Planet Productions"
"Zoolander","VH1 Television"
"Zoolander","Red Hour Films"
"Zoolander","MFP Munich Film Partners GmbH & Company I. Produktions KG"
"Kundun","Touchstone Pictures"
"Alatriste","Twentieth Century Fox Film Corporation"
"Alatriste","Estudios Picasso"
"Alatriste","NBC Universal Global Networks"
"Alatriste","Origen Producciones Cinematograficas S.A."
"Octopussy","Eon Productions"
"Rendition","Anonymous Content"
"Rendition","Level 1 Entertainment"
"Rendition","MID Foundation"
"Anonymous","Columbia Pictures"
"Anonymous","Centropolis Entertainment"
"Flawless","Metro-Goldwyn-Mayer (MGM)"
"Mindhunters","Avenue Pictures Productions"
"Mindhunters","Weed Road Pictures"
"Mindhunters","Intermedia Films"
"Mindhunters","Egmond Film & Television"
"Mindhunters","Dimension Films"
"Mindhunters","Outlaw Productions (I)"
"Mindhunters","Mindhunters (UK) Limited"
"Mindhunters","Mindhunters Productie BV"
"Mindhunters","Tonna Oy"
"Mindhunters","Outlaw Victoria Productions Inc."
"EverAfter","Twentieth Century Fox Film Corporation"
"Flatliners","Columbia Pictures Corporation"
"Flatliners","Stonebridge Entertainment"
"Legion","Bold Films"
"Clockstoppers","Paramount Pictures"
"Clockstoppers","Nickelodeon Movies"
"Clockstoppers","Valhalla Motion Pictures"
"Silverado","Columbia Pictures"
"Brothers","Lionsgate"
"Brothers","Relativity Media"
"Brothers","Sighvatsson Films"
"Brothers","Michael De Luca Productions"
"Brothers","Palomar Pictures (II)"
"Flipper","Universal Pictures"
"Flipper","The Bubble Factory"
"Flipper","American Films"
"Taken","Twentieth Century Fox Film Corporation"
"Taken","M6 Films"
"Taken","Canal+"
"Taken","TPS Star"
"Taken","Grive Productions"
"Taken","EuropaCorp"
"Taken","M6"
"Taken","Wintergreen Productions"
"Taken","All Pictures Media"
"Viy","Universal Pictures"
"Viy","Ankor-Film"
"Cloverfield","Paramount Pictures"
"Cloverfield","Bad Robot"
"Chocolat","Miramax Films"
"Chocolat","David Brown Productions"
"Chocolat","Fat Free"
"Tombstone","Hollywood Pictures"
"Tombstone","Cinergi Pictures Entertainment"
"GoodFellas","Winkler Films"
"Scarface","Universal Pictures"
"Contraband","Universal Pictures"
"Contraband","StudioCanal"
"Contraband","Relativity Media"
"Contraband","Leverage Management"
"Contraband","Closest to the Hole Productions"
"Contraband","Farraday Films"
"Contraband","Leverage Entertainment"
"Contraband","Working Title Films"
"Contraband","Blueeyes Productions"
"Elizabeth","Channel Four Films"
"Elizabeth","PolyGram Filmed Entertainment"
"Elizabeth","Working Title Films"
"Kingpin","Motion Picture Corporation of America"
"Kingpin","Metro-Goldwyn-Mayer (MGM)"
"War","Mosaic Media Group"
"War","Current Entertainment"
"War","Lionsgate"
"War","Fierce Entertainment"
"War","Province of British Columbia Production Services Tax Credit"
"War","Rogue Films"
"EuroTrip","DreamWorks SKG"
"EuroTrip","The Montecito Picture Company"
"EuroTrip","Blue Sea Productions"
"Legend","Working Title Films"
"Legend","Cross Creek Pictures"
"Legend","Anton Capital Entertainment (ACE)"
"Lifeforce","TriStar Pictures"
"Lifeforce","Golan-Globus"
"Lifeforce","Easedram"
"Warrior","Solaris Film"
"Warrior","Lionsgate"
"Warrior","Mimran Schur Pictures"
"Warrior","Filmtribe"
"Gettysburg","TriStar Television"
"Gettysburg","Esparza / Katz Productions"
"Abandon","Paramount Pictures"
"Abandon","Spyglass Entertainment"
"Abandon","Touchstone Pictures"
"Sheena","Columbia Pictures Corporation"
"Sheena","Delphi II Productions"
"Sheena","Colgems Productions Ltd."
"Underclassman","Miramax Films"
"Blindness","Rhombus Media"
"Blindness","O2 Filmes"
"Blindness","Téléfilm Canada"
"Blindness","Bee Vine Pictures"
"Blindness","Alliance Films"
"Blindness","Asmik Ace Entertainment"
"Blindness","GAGA"
"Blindness","Fox Filmes do Brasil"
"Blindness","Ancine"
"Blindness","BNDES"
"Blindness","Cinema Investment"
"Blindness","Corus Entertainment"
"Blindness","Movie Central Network"
"BloodRayne","Boll KG"
"Carnage","Wild Bunch"
"Carnage","Zanagar Films"
"Carnage","Canal+"
"Carnage","Constantin Film Produktion"
"Carnage","CinéCinéma"
"Carnage","Versátil Cinema"
"Carnage","SBS Productions"
"Carnage","Polski Instytut Sztuki Filmowej"
"Carnage","France Télévisions"
"Carnage","France 2 Cinéma"
"Carnage","SPI Film Studio"
"Ironclad","Rising Star"
"Ironclad","Premiere Picture"
"Ironclad","Mythic International Entertainment"
"Ironclad","Film & Entertainment VIP Medienfonds 4 GmbH & Co. KG (I)"
"Ironclad","Wales Creative IP Fund"
"Ironclad","Silver Reel"
"Ironclad","Perpetual Media Capital"
"Ironclad","Molinare Investment"
"Ironclad","VIP 4 Medienfonds"
"Ironclad","ContentFilm International"
"Waterloo","Paramount Pictures"
"Waterloo","Dino de Laurentiis Cinematografica"
"Waterloo","Mosfilm"
"Footloose","Paramount Pictures"
"Footloose","IndieProd Company Productions"
"Faster","Castle Rock Entertainment"
"Faster","TriStar Pictures"
"Faster","State Street Pictures"
"Faster","CBS Films"
"Zombieland","Columbia Pictures"
"Zombieland","Relativity Media"
"Zombieland","Pariah"
"Her","Warner Bros."
"Her","Annapurna Pictures"
"Haywire","Irish Film Board"
"Haywire","Relativity Media"
"Forsaken","Minds Eye Entertainment"
"Forsaken","Panacea Entertainment"
"Forsaken","Moving Pictures Media"
"1408","The Weinstein Company"
"1408","Di Bonaventura Pictures"
"1408","Dimension Films"
"Spaceballs","Brooksfilms Ltd."
"Spaceballs","Metro-Goldwyn-Mayer (MGM)"
"Ghost","Paramount Pictures"
"Gandhi","Columbia Pictures"
"Gandhi","Goldcrest Films International"
"Gandhi","Indo-British"
"Gandhi","International Film Investors"
"Gandhi","National Film Development Corporation of India"
"Gandhi","Carolina Bank"
"Underworld","Lakeshore Entertainment"
"Underworld","Laurinfilm"
"Underworld","Subterranean Productions LLC"
"Underworld","Subterranean Productions UK Ltd."
"Underworld","Underworld Produktions GmbH"
"Derailed","Miramax Films"
"Derailed","Di Bonaventura Pictures"
"Derailed","Patalex V Productions Limited"
"Shadowlands","Shadowlands Productions"
"Shadowlands","Savoy Pictures"
"Homefront","Millennium Films"
"Homefront","Open Road Films"
"Zwartboek","CoBo Fund"
"Zwartboek","Studio Babelsberg"
"Zwartboek","Motel Films"
"Zwartboek","Motion Investment Group"
"Zwartboek","Egoli Tossell Film AG"
"Zwartboek","Filmförderungsanstalt (FFA)"
"Zwartboek","Nederlands Fonds voor de Film"
"Zwartboek","Medienboard Berlin-Brandenburg"
"Zwartboek","uFilm"
"Zwartboek","Le Tax Shelter du Gouvernement Fédéral de Belgique"
"Zwartboek","Fu Works"
"Zwartboek","Hector BV"
"Zwartboek","Media Programme of the European Community"
"Zwartboek","Euroimages Fund of the Council of Europe"
"Zwartboek","VIP 4 Medienfonds"
"Zwartboek","ContentFilm International"
"Zwartboek","Clockwork Pictures"
"Sorcerer","Paramount Pictures"
"Sorcerer","Universal Pictures"
"Sorcerer","Film Properties International N.V."
"Stone","Stone Productions"
"Stone","Mimran Schur Pictures"
"Metegol","100 Bares"
"Metegol","Ministerio de Cultura"
"Metegol","Instituto de Crédito Oficial (ICO)"
"Metegol","Televisión Federal (Telefe)"
